desired_temp,measured_temp,analog_read
10,8.2,3320
10,7,3320
10,7.6,3320
10,8.2,3320
10,6.6,3320
10,7.2,3320
10,6.8,3320
10,6.6,3320
10,6.9,3320
10,7,3320
10,6.6,3320
10,6.9,3320
10,7,3320
10,6.9,3320
10,7.5,3320
12,9.5,3210
12,9.2,3210
12,9.5,3210
12,9.4,3210
12,9.5,3210
12,9.8,3210
12,9.4,3210
12,9.1,3210
12,9.8,3210
12,9,3210
12,8.7,3210
12,9.3,3210
12,9.3,3210
12,8.6,3210
12,9.3,3210
14,11.9,3090
14,11.1,3090
14,12.5,3090
14,11.8,3090
14,11.3,3090
14,11.8,3090
14,11.5,3090
14,11.3,3090
14,12.1,3090
14,11.5,3090
14,10.8,3090
14,12.2,3090
14,12.7,3090
14,11,3090
14,12.5,3090
16,14.1,2970
16,13.3,2970
16,14.6,2970
16,14.1,2970
16,13.5,2970
16,14.7,2970
16,14.5,2970
16,13.4,2970
16,14.6,2970
16,14.1,2970
16,13.6,2970
16,14.3,2970
16,13.6,2970
16,14.1,2970
16,15,2970
18,16.2,2860
18,15.9,2860
18,16.5,2860
18,16.2,2860
18,16,2860
18,16.3,2860
18,16.1,2860
18,15.8,2860
18,15.9,2860
18,16,2860
18,15.9,2860
18,16.8,2860
18,16.3,2860
18,15.9,2860
18,16.6,2860
20,20.2,2740
20,19.5,2740
20,19.8,2740
20,19.8,2740
20,19.9,2740
20,20.1,2740
20,19.8,2740
20,19.4,2740
20,19.6,2740
20,19.5,2740
20,19.2,2740
20,19.8,2740
20,19.4,2740
20,19.2,2740
20,19.8,2740
22,21.8,2620
22,21.6,2620
22,21.9,2620
22,21.8,2620
22,21.5,2620
22,21.8,2620
22,21.6,2620
22,21.5,2620
22,22.1,2620
22,21.9,2620
22,21.5,2620
22,22,2620
22,21.6,2620
22,21.4,2620
22,22.2,2620
24,24,2510
24,23.8,2510
24,24.5,2510
24,23.6,2510
24,24.1,2510
24,24,2510
24,23.9,2510
24,23.8,2510
24,24.1,2510
24,23.6,2510
24,23.7,2510
24,23.9,2510
24,23.7,2510
24,23.5,2510
24,24,2510
26,25.6,2400
26,25.5,2400
26,25.8,2400
26,25.7,2400
26,25.8,2400
26,25.6,2400
26,25.8,2400
26,25.7,2400
26,25.9,2400
26,25.9,2400
26,25.9,2400
26,25.9,2400
26,25.8,2400
26,26,2400
26,25.9,2400
28,28,2280
28,27.9,2280
28,27.8,2280
28,27.9,2280
28,28.1,2280
28,27.9,2280
28,28,2280
28,28.3,2280
28,28.2,2280
28,28.2,2280
28,27.8,2280
28,27.7,2280
28,27.8,2280
28,27.9,2280
28,27.7,2280
30,30.2,2160
30,30,2160
30,29.1,2160
30,29.7,2160
30,29.7,2160
30,29.7,2160
30,29.8,2160
30,30.1,2160
30,30.2,2160
30,29.7,2160
30,30,2160
30,29.1,2160
30,29.7,2160
30,30.2,2160
30,29.6,2160
32,32.2,2050
32,32.3,2050
32,31.2,2050
32,32.2,2050
32,32.3,2050
32,31.7,2050
32,31.8,2050
32,32.4,2050
32,32.2,2050
32,32.2,2050
32,32.2,2050
32,31.7,2050
32,31.6,2050
32,32.1,2050
32,31.3,2050
34,34.1,1930
34,34.2,1930
34,33.5,1930
34,34.4,1930
34,34.4,1930
34,33.9,1930
34,34.9,1930
34,34.6,1930
34,33.7,1930
34,34.4,1930
34,34.5,1930
34,33.7,1930
34,34.3,1930
34,34.5,1930
34,34.2,1930
36,36.6,1810
36,36.8,1810
36,35.2,1810
36,37.1,1810
36,37.4,1810
36,36.1,1810
36,37.2,1810
36,37.5,1810
36,36.5,1810
36,36.2,1810
36,37.8,1810
36,37.4,1810
36,36.9,1810
36,37.2,1810
36,36.3,1810
38,39.3,1700
38,39.9,1700
38,38.6,1700
38,40.5,1700
38,40.2,1700
38,39.1,1700
38,40.5,1700
38,40.7,1700
38,39.8,1700
38,39.3,1700
38,40.4,1700
38,38.8,1700
38,39,1700
38,40.3,1700
38,39.6,1700
40,41.4,1580
40,43.6,1580
40,41.3,1580
40,42,1580
40,42.9,1580
40,41.7,1580
40,41.5,1580
40,43.8,1580
40,42,1580
40,41.7,1580
40,43.3,1580
40,42.1,1580
40,41.7,1580
40,43,1580
40,42.1,1580
42,43.8,1460
42,45.2,1460
42,42.5,1460
42,44.9,1460
42,46,1460
42,45.6,1460
42,45.9,1460
42,45.9,1460
42,44.4,1460
42,44.9,1460
42,46.1,1460
42,44.7,1460
42,44.5,1460
42,45.6,1460
42,43.4,1460
44,46.8,1350
44,48.4,1350
44,46.7,1350
44,47.6,1350
44,49.1,1350
44,45.6,1350
44,47.4,1350
44,48.2,1350
44,45.2,1350
44,46.4,1350
44,47.7,1350
44,44.4,1350
44,47.6,1350
44,48.1,1350
44,46.8,1350
46,50.7,1230
46,51.9,1230
46,49.8,1230
46,51.3,1230
46,52.1,1230
46,49.8,1230
46,50.6,1230
46,51.2,1230
46,49.9,1230
46,51.2,1230
46,51.4,1230
46,48,1230
46,51.7,1230
46,52.2,1230
46,49.5,1230
48,53.6,1120
48,55.5,1120
48,52,1120
48,52.7,1120
48,54.8,1120
48,53.1,1120
48,52.8,1120
48,55.6,1120
48,54.4,1120
48,51.4,1120
48,54.9,1120
48,53.9,1120
48,55.3,1120
48,55.7,1120
48,51,1120
