analog_read,target_temp
2877,16
2882,16
2880,16
2890,16
2887,14
2890,14
2881,14
2892,14
2881,14
2891,14
2886,14
2892,14
2884,14
2879,14
2891,14
2877,14
2897,14
2884,14
2869,14
2878,14
2874,14
2869,14
2873,14
2873,14
2874,14
2873,14
2871,14
2886,14
2886,14
2871,14
2874,14
2886,14
2883,14
2883,14
2878,14
2875,14
2882,14
2886,14
2876,14
2886,14
2893,14
2886,14
2883,14
2882,14
2891,14
2899,14
2895,14
2898,14
2898,14
2905,14
2889,14
2883,14
2892,14
2885,14
2889,14
2888,14
2889,14
2886,14
2901,14
2900,14
2910,14
2893,14
2894,14
2891,14
2897,14
2895,14
2894,14
2898,14
2908,14
2905,14
2905,14
2917,14
2898,14
2909,14
2909,14
2916,14
2915,14
2899,14
2899,14
2901,14
2901,14
2917,14
2910,14
2901,14
2907,14
2904,14
2907,14
2914,14
2917,14
2919,14
2898,14
2913,14
2910,14
2899,14
2921,14
2914,14
2910,14
2925,14
2909,14
2920,14
2911,14
2917,14
2911,14
2918,14
2913,14
2919,14
2914,14
2902,14
2926,14
2916,14
2923,14
2922,14
2915,14
2925,14
2927,14
2916,14
2910,14
2914,14
2914,14
2916,14
2927,14
2933,14
2937,14
2931,14
2921,14
2928,14
2931,14
2930,14
2922,14
2918,14
2923,14
2917,14
2940,14
2920,14
2930,14
2921,14
2925,14
2933,14
2924,14
2928,14
2930,14
2927,14
2927,14
2932,14
2943,14
2932,14
2929,14
2923,14
2944,14
2932,14
2926,14
2948,14
2944,14
2941,14
2952,14
2946,14
2954,14
2941,14
2929,14
2944,14
2934,14
2944,14
2937,14
2927,14
2939,14
2939,14
2947,14
2955,14
2933,14
2937,14
2940,14
2936,14
2953,14
2950,14
2945,14
2937,14
2942,14
2943,14
2939,14
2951,14
2951,14
2941,14
2947,14
2957,14
2941,14
2955,14
2958,14
2942,14
2954,14
2947,14
2941,14
2958,14
2945,14
2951,14
2949,14
2944,14
2950,14
2958,14
2943,14
2966,14
2960,14
2960,14
2950,14
2945,14
2955,14
2955,14
2957,14
2954,14
2961,14
2954,14
2950,14
2965,14
2963,14
2961,14
2955,14
2949,14
2967,14
2952,14
2960,14
2951,14
2961,14
2952,14
2959,14
2965,14
2975,14
2957,14
2968,14
2968,14
2970,14
2958,14
2970,14
2960,14
2973,14
2971,14
2970,14
2964,14
2964,14
2963,14
2956,14
2965,14
2970,14
2959,14
2959,14
2969,14
2980,14
2976,14
2969,14
2981,14
2967,14
2960,14
2958,14
2975,14
2959,14
2975,14
2977,14
2969,14
2957,14
2972,14
2970,14
2993,14
2959,14
2972,14
2960,14
2984,14
2982,14
2957,14
2970,14
2981,14
2970,14
2969,14
2993,14
2986,14
2971,14
2975,14
2981,14
2991,14
2985,14
2989,14
2976,14
2953,14
2973,14
2980,14
2972,14
2998,14
2982,14
2968,14
2974,14
2966,14
2968,14
2980,14
2976,14
2971,14
2987,14
2980,14
2978,14
2975,14
2969,14
2997,14
2964,14
2983,14
2972,14
2979,14
2970,14
2969,14
2988,14
2976,14
2981,14
2974,14
2986,14
2990,14
2977,14
2988,14
2905,14
2986,14
2995,14
2977,14
2985,14
2980,14
2970,14
2988,14
2981,14
2987,14
2978,14
2969,14
2993,14
2974,14
2989,14
3002,14
2972,14
2986,14
2985,14
2988,14
2981,14
2981,14
2979,14
2980,14
2984,14
2984,14
2974,14
2990,14
2978,14
2972,14
2982,14
2981,14
2980,14
2992,14
2974,14
2975,14
2993,14
2971,14
2989,14
2974,14
2966,14
2988,14
2972,14
2984,14
2977,14
2974,14
2980,14
2972,14
2979,14
2985,14
2982,14
2974,14
2979,14
2979,14
2939,14
2991,14
2975,14
2971,14
2976,14
2987,14
2980,14
2985,14
2965,14
2964,14
2984,14
2981,14
2979,14
2982,14
2974,14
2982,14
2982,14
2989,14
2966,14
2979,14
2973,14
2968,14
2961,14
2978,14
2975,14
2983,14
2969,14
2984,14
2973,14
2979,14
2972,14
2969,14
2968,14
2965,14
2976,14
2920,14
2967,14
2980,14
2976,14
2961,14
2975,14
2984,14
2973,14
2972,14
2962,14
2958,14
2969,14
2976,14
2966,14
2964,14
3025,14
3047,14
2984,14
2979,14
2960,14
2955,14
2967,14
2979,14
2970,14
2973,14
2979,14
2967,14
2979,14
2966,14
2967,14
2960,14
2968,14
2969,14
2956,14
2983,14
2965,14
2976,14
2975,14
2964,14
2976,14
2959,14
2973,14
2976,14
2914,14
2964,14
2975,14
2982,14
2967,14
2957,14
2976,14
2966,14
2959,14
2975,14
2968,14
2957,14
2973,14
2980,14
2960,14
2986,14
2980,14
2966,14
2974,14
2976,14
2981,14
2972,14
2972,14
2981,14
2970,14
2969,14
2980,14
2968,14
2975,14
2960,14
2977,14
2980,14
2962,14
2981,14
2962,14
2955,14
2986,14
2984,14
2954,14
2968,14
2963,14
2982,14
2964,14
2966,14
2972,14
2967,14
2969,14
2965,14
2956,14
2966,14
2955,14
2975,14
2956,14
2981,14
2972,14
2969,14
2969,14
2997,14
2957,14
2966,14
2964,14
2951,14
2962,14
2961,14
2968,14
2955,14
2974,14
2965,14
2973,14
2975,14
2959,14
2965,14
2984,14
2959,14
2957,14
2976,14
2961,14
2972,14
2971,14
2954,14
2982,14
2974,14
2960,14
2981,14
2968,14
2968,14
2961,14
