analog_read,target_temp
3061,14
3050,14
3052,14
3065,14
3071,14
3068,14
3071,14
3069,14
3068,14
3058,14
3067,14
3060,14
3057,14
3055,14
3048,14
3077,14
3051,14
3155,14
3054,14
3061,14
3058,14
2986,14
3060,14
3057,14
3060,14
3058,14
3062,14
3062,14
3059,14
3075,14
3063,14
3062,14
3075,14
3080,14
3070,14
3051,14
3068,14
3069,14
3080,14
3072,14
3070,14
3072,14
3056,14
3052,14
3043,14
3062,14
3047,14
3054,14
3047,14
3054,14
3045,14
3075,14
3055,14
3063,14
3067,14
3067,14
3065,14
3065,14
3065,14
3065,14
3064,14
3073,14
3060,14
3076,14
3075,14
3064,14
3072,14
3065,14
3060,14
3064,14
3062,14
3073,14
3067,14
3060,14
3069,14
3078,14
3079,14
3086,14
3065,14
3085,14
3083,14
3063,14
3071,14
3062,14
3079,14
3080,14
3065,14
3069,14
3079,14
3062,14
3094,14
3084,14
3073,14
3083,14
3071,14
3072,14
3068,14
3075,14
3080,14
3073,14
3074,14
3082,14
3088,14
3074,14
3081,14
3075,14
3080,14
3090,14
3075,14
3083,14
3075,14
3076,14
3076,14
3074,14
3074,14
3088,14
3070,14
3086,14
3100,14
3083,14
3085,14
3079,14
3087,14
3077,14
3068,14
3079,14
3086,14
3080,14
3076,14
3083,14
3076,14
3080,14
3079,14
3069,14
3087,14
3079,14
3079,14
3079,14
3035,14
3076,14
3075,14
3082,14
3074,14
3078,14
3087,14
3081,14
3073,14
3090,14
3084,14
3066,14
3065,14
3068,14
3072,14
3085,14
3072,14
3081,14
3081,14
3091,14
3069,14
3087,14
3073,14
3074,14
3087,14
3087,14
3074,14
3070,14
3067,14
3076,14
3083,14
3067,14
3067,14
3063,14
3064,14
3072,14
3084,14
2987,14
3062,14
3079,14
3058,14
3052,14
3045,14
3082,14
3066,14
3087,14
3078,14
3076,14
3076,14
3079,14
3083,14
3066,14
3059,14
3070,14
3056,14
3073,14
3061,14
3071,14
3063,14
3070,14
3082,14
3056,14
3061,14
3085,14
3091,14
3090,14
3082,14
3072,14
3078,14
3081,14
3065,14
3069,14
3077,14
3068,14
3068,14
3071,14
3084,14
3074,14
3078,14
3078,14
3076,14
3086,14
3069,14
3088,14
3077,14
3077,14
3080,14
3081,14
3065,14
3086,14
3073,14
3066,14
3082,14
3083,14
3065,14
3088,14
3082,14
3069,14
3067,14
3077,14
3072,14
3085,14
3078,14
3070,14
3072,14
3069,14
3062,14
3090,14
3074,14
3080,14
3071,14
3092,14
3073,14
3076,14
3069,14
3089,14
3087,14
3089,14
3082,14
3082,14
3072,14
3077,14
3075,14
3089,14
3076,14
3080,14
3098,14
3074,14
3088,14
3072,14
3094,14
3095,14
3087,14
3087,14
3093,14
3080,14
3081,14
3189,14
3062,14
3077,14
3072,14
3088,14
3075,14
3081,14
3081,14
3062,14
3086,14
3115,14
3081,14
3091,14
3069,14
3078,14
3069,14
3078,14
3086,14
3085,14
3107,14
3070,14
3087,14
3084,14
3087,14
3063,14
3090,14
3077,14
3073,14
3078,14
3072,14
3080,14
3075,14
3089,14
3084,14
3067,14
3099,14
3083,14
3056,14
3067,14
3064,14
3066,14
3081,14
3076,14
3073,14
3074,14
3071,14
3077,14
3074,14
3083,14
3061,14
3073,14
3066,14
3075,14
3067,14
3072,14
3067,14
3075,14
3060,14
3064,14
3064,14
3073,14
3044,14
3073,14
3065,14
3058,14
3059,14
3082,14
3066,14
3058,14
3063,14
3063,14
3069,14
3075,14
3062,14
3066,14
3061,14
3066,14
3073,14
3076,14
3078,14
3068,14
3069,14
3062,14
3084,14
3072,14
3076,14
3059,14
3064,14
3077,14
3074,14
3071,14
3068,14
3072,14
3067,14
3063,14
3063,14
3070,14
3070,14
3071,14
3070,14
3094,14
3083,14
3073,14
3066,14
3081,14
3089,14
3075,14
3087,14
3075,14
3093,14
3081,14
3077,14
3084,14
3085,14
3077,14
3064,14
3063,14
3084,14
3089,14
3079,14
3084,14
3085,14
3064,14
3079,14
3082,14
3082,14
3062,14
3064,14
3069,14
3077,14
3083,14
3085,14
3072,14
3082,14
3066,14
3076,14
3070,14
3067,14
3062,14
3071,14
3070,14
3082,14
3063,14
3064,14
3071,14
3073,14
3071,14
3071,14
3073,14
3071,14
3070,14
3078,14
3151,14
3070,14
3073,14
3066,14
3062,14
3059,14
3073,14
3075,14
3060,14
3061,14
3064,14
3067,14
3069,14
3140,14
3071,14
3075,14
3084,14
3071,14
3071,14
3068,14
3065,14
3076,14
3072,14
3065,14
3072,14
3073,14
3062,14
3070,14
3060,14
3087,14
3065,14
3069,14
3067,14
3081,14
3064,14
3085,14
3077,14
3068,14
3072,14
3075,14
3072,14
3078,14
3067,14
3093,14
3084,14
3067,14
3100,14
3072,14
3074,14
3080,14
3078,14
3064,14
3079,14
3075,14
3069,14
3088,14
3071,14
3072,14
3076,14
3087,14
3058,14
3077,14
3069,14
3074,14
3083,14
3102,14
3071,14
3066,14
3067,14
3061,14
3075,14
3075,14
3075,14
3080,14
3019,14
3071,14
3066,14
3068,14
3069,14
3073,14
3073,14
3076,14
3076,14
3081,14
3067,14
3060,14
3084,14
3085,14
3079,14
3084,14
3076,14
3079,14
3072,14
3065,14
3063,14
3087,14
3071,14
3065,14
3082,14
3089,14
3074,14
3078,14
3071,14
3077,14
3062,14
3068,14
3078,14
3092,14
3070,14
3067,14
3064,14
3064,14
3074,14
3097,14
3069,14
3065,14
3087,14
3070,14
3085,14
3082,14
3087,14
3073,14
3075,14
3076,14
3075,14
3077,14
3077,14
3082,14
3091,14
3080,14
3077,14
3089,14
3083,14
3080,14
3090,14
3088,14
3086,14
3092,14
3094,14
3080,14
3091,14
3096,14
3086,14
3089,14
3077,14
3092,14
3095,14
3079,14
3081,14
3079,14
3088,14
3069,14
3085,14
3081,14
3070,14
3086,14
3072,14
3074,14
3066,14
3086,14
3061,14
3078,14
3066,14
3074,14
3068,14
3085,14
3066,14
3065,14
3078,14
3067,14
3059,14
3076,14
3057,14
3072,14
3063,14
3062,14
3057,14
3073,14
3072,14
3082,14
3077,14
2975,14
3060,14
3063,14
3075,14
3078,14
3066,14
3070,14
3073,14
3063,14
3062,14
3059,14
3064,14
3055,14
3059,14
3078,14
3064,14
3057,14
3058,14
3057,14
3068,14
3083,14
3065,14
3080,14
3075,14
3066,14
3083,14
3070,14
3073,14
3071,14
3090,14
3080,14
3074,14
3081,14
3065,14
3067,14
3080,14
3068,14
3078,14
3070,14
3077,14
3066,14
3061,14
3053,14
3056,14
3067,14
3071,14
3076,14
3077,14
3073,14
3071,14
3085,14
3077,14
3073,14
3061,14
3084,14
3061,14
3069,14
3071,14
3069,14
3067,14
3058,14
3057,14
3080,14
3081,14
3079,14
3080,14
3064,14
3067,14
3085,14
3082,14
3079,14
3080,14
3062,14
3068,14
3084,14
3077,14
3082,14
3082,14
3078,14
3064,14
3076,14
3067,14
3082,14
3079,14
3089,14
3071,14
3080,14
3071,14
3077,14
3071,14
3087,14
3080,14
3080,14
3085,14
3073,14
3074,14
3067,14
3078,14
3067,14
3087,14
3071,14
3076,14
3085,14
3068,14
3088,14
3079,14
3064,14
3060,14
3073,14
3067,14
3060,14
3051,14
3085,14
3068,14
3059,14
3060,14
3082,14
3056,14
3061,14
3058,14
3059,14
3063,14
3055,14
3068,14
3054,14
3076,14
3076,14
3066,14
3045,14
3059,14
3070,14
3057,14
3069,14
