"temp","measure","tile"
16,18,"L"
17,18.5,"L"
18,19.5,"L"
19,20.4,"L"
20,21.1,"L"
21,22.2,"L"
22,23.6,"L"
23,24.2,"L"
24,24.9,"L"
25,26,"L"
26,26.7,"L"
27,27.8,"L"
28,28.7,"L"
29,30,"L"
30,30.5,"L"
31,31.8,"L"
32,32.8,"L"
33,33.6,"L"
34,34.7,"L"
35,35.4,"L"
36,36.7,"L"
37,37.6,"L"
38,38.7,"L"
39,39.5,"L"
40,40.6,"L"
41,41.6,"L"
42,42.3,"L"
43,43.3,"L"
44,44.5,"L"
16,17.7,"M"
17,18,"M"
18,18.7,"M"
19,20.1,"M"
20,20.9,"M"
21,22.4,"M"
22,23.3,"M"
23,24.1,"M"
24,24.6,"M"
25,25.9,"M"
26,26.6,"M"
27,27.4,"M"
28,28.7,"M"
29,29.5,"M"
30,30.6,"M"
31,31.5,"M"
32,32.3,"M"
33,33.5,"M"
34,34.5,"M"
35,35.7,"M"
36,36.6,"M"
37,37.7,"M"
38,38.5,"M"
39,39.4,"M"
40,40.4,"M"
41,41.2,"M"
42,42.5,"M"
43,43.4,"M"
44,44.4,"M"
16,17.2,"R"
17,18,"R"
18,19.3,"R"
19,20.9,"R"
20,20.6,"R"
21,23,"R"
22,22.8,"R"
23,24,"R"
24,24.7,"R"
25,25.4,"R"
26,26.3,"R"
27,27.4,"R"
28,28.5,"R"
29,29.3,"R"
30,30.5,"R"
31,31.5,"R"
32,32.8,"R"
33,33.6,"R"
34,34.5,"R"
35,35.6,"R"
36,36.6,"R"
37,37.6,"R"
38,38.6,"R"
39,39.5,"R"
40,40.9,"R"
41,41.3,"R"
42,42.7,"R"
43,43.3,"R"
44,44.4,"R"
